Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
58,"Sunday, Jun 4",boxscore,SFG,@,PHI,L,7,9,,23-35,4,12.5,Neshek,Law,Neris,3:28,D,"25,063",--
59,"Monday, Jun 5",boxscore,SFG,@,MIL,W,7,2,,24-35,4,12,Samardzija,Scahill,,3:05,N,"21,452",+
60,"Tuesday, Jun 6",boxscore,SFG,@,MIL,L,2,5,,24-36,4,13,Anderson,Cain,Knebel,2:35,N,"21,214",-
61,"Wednesday, Jun 7",boxscore,SFG,@,MIL,L,3,6,,24-37,4,14,Nelson,Blach,Knebel,2:41,N,"20,580",--
62,"Thursday, Jun 8",boxscore,SFG,@,MIL,W,9,5,10,25-37,4,14,Melancon,Barnes,,4:22,D,"23,005",+
63,"Friday, Jun 9",boxscore,SFG,,MIN,L,0,4,,25-38,4,15,Santana,Moore,,2:27,N,"41,046",-
64,"Saturday, Jun 10",boxscore,SFG,,MIN,L,2,3,,25-39,4,16,Berrios,Samardzija,Kintzler,2:43,D,"41,255",--
65,"Sunday, Jun 11",boxscore,SFG,,MIN,W,13,8,,26-39,4,15,Osich,Belisle,,3:43,D,"41,321",+
66,"Tuesday, Jun 13",boxscore,SFG,,KCR,L,1,8,,26-40,4,14.5,Vargas,Blach,,2:38,N,"41,284",-
67,"Wednesday, Jun 14",boxscore,SFG,,KCR,L,2,7,,26-41,5,15.5,Hammel,Cueto,,3:03,D,"41,144",--
68,"Thursday, Jun 15",boxscore,SFG,@,COL,L-wo,9,10,,26-42,5,16.5,Holland,Strickland,,3:55,N,"40,747",---
69,"Friday, Jun 16",boxscore,SFG,@,COL,L,8,10,,26-43,5,17.5,Senzatela,Samardzija,Holland,3:09,N,"46,632",----
70,"Saturday, Jun 17",boxscore,SFG,@,COL,L,1,5,,26-44,5,18.5,Freeland,Cain,,3:01,D,"48,035",-----
71,"Sunday, Jun 18",boxscore,SFG,@,COL,L-wo,5,7,,26-45,5,19.5,Estevez,Melancon,,3:16,D,"48,341",------
72,"Monday, Jun 19",boxscore,SFG,@,ATL,L,0,9,,26-46,5,20,Dickey,Cueto,,2:46,N,"24,723",-------
73,"Tuesday, Jun 20",boxscore,SFG,@,ATL,W,6,3,,27-46,5,20,Moore,Teheran,Melancon,2:56,N,"23,823",+
74,"Wednesday, Jun 21",boxscore,SFG,@,ATL,L-wo,3,5,11,27-47,5,20.5,Jackson,Gearrin,,3:16,N,"25,771",-
75,"Thursday, Jun 22",boxscore,SFG,@,ATL,L,11,12,,27-48,5,21.5,Hursh,Cain,Johnson,3:37,N,"25,521",--
76,"Friday, Jun 23",boxscore,SFG,,NYM,L,4,11,,27-49,5,22.5,Lugo,Blach,,3:13,N,"41,769",---
77,"Saturday, Jun 24",boxscore,SFG,,NYM,L,2,5,,27-50,5,23.5,deGrom,Dyson,,2:52,D,"41,216",----
78,"Sunday, Jun 25",boxscore,SFG,,NYM,L,2,8,,27-51,5,24.5,Montero,Moore,,3:44,D,"41,137",-----
79,"Monday, Jun 26",boxscore,SFG,,COL,W,9,2,,28-51,5,23.5,Samardzija,Marquez,,3:22,N,"41,388",+
80,"Tuesday, Jun 27",boxscore,SFG,,COL,W-wo,4,3,14,29-51,5,23.5,Gearrin,Qualls,,4:45,N,"41,331",++
81,"Wednesday, Jun 28",boxscore,SFG,,COL,W,5,3,,30-51,5,22.5,Blach,Freeland,Strickland,3:05,D,"41,286",+++
82,"Friday, Jun 30",boxscore,SFG,@,PIT,W,13,5,,31-51,5,23,Cueto,Cole,,4:01,N,"26,407",++++
Gm#,July,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
83,"Saturday, Jul 1",boxscore,SFG,@,PIT,W,2,1,11,32-51,5,23,Osich,Hudson,Dyson,4:00,D,"27,247",+++++
84,"Sunday, Jul 2",boxscore,SFG,@,PIT,W,5,3,,33-51,5,22,Samardzija,Watson,Dyson,2:55,D,"32,144",++++++
85,"Tuesday, Jul 4",boxscore,SFG,@,DET,L,3,5,,33-52,5,23,Fulmer,Cain,Wilson,2:23,D,"32,514",-
86,"Wednesday, Jul 5",boxscore,SFG,@,DET,W,5,4,,34-52,5,23,Blach,Norris,Dyson,3:18,N,"26,613",+
87,"Thursday, Jul 6",boxscore,SFG,@,DET,L,2,6,,34-53,5,24,Sanchez,Stratton,,2:38,D,"27,210",-
88,"Friday, Jul 7",boxscore,SFG,,MIA,L,1,6,,34-54,5,25,Straily,Moore,,2:40,N,"41,510",--
89,"Saturday, Jul 8",boxscore,SFG,,MIA,L,4,5,,34-55,5,26,O'Grady,Samardzija,Ramos,3:01,N,"41,480",---
90,"Sunday, Jul 9",boxscore,SFG,,MIA,L,8,10,11,34-56,5,27,Wittgren,Kontos,Ramos,4:10,D,"41,516",----
91,"Friday, Jul 14",boxscore,SFG,@,SDP,W,5,4,,35-56,5,27,Gearrin,Richard,Dyson,3:27,N,"34,970",+
