Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
78,"Thursday, Jun 29",boxscore,CIN,,MIL,L,3,11,,33-45,5,7.5,Nelson,Bailey,,3:15,N,"20,419",-
79,"Friday, Jun 30",boxscore,CIN,,CHC,W,5,0,,34-45,5,7.5,Feldman,Montgomery,,2:37,N,"39,501",+
Gm#,July,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
80,"Saturday, Jul 1",boxscore,CIN,,CHC,W,5,3,,35-45,5,7.5,Stephens,Butler,Iglesias,3:02,D,"39,826",++
81,"Sunday, Jul 2",boxscore,CIN,,CHC,L,2,6,,35-46,5,7.5,Arrieta,Adleman,,3:08,D,"38,536",-
82,"Monday, Jul 3",boxscore,CIN,@,COL,L,3,5,,35-47,5,8.5,Hoffman,Castillo,Holland,2:48,N,"49,131",--
83,"Tuesday, Jul 4",boxscore,CIN,@,COL,W,8,1,,36-47,5,8.5,Bailey,Freeland,,2:58,N,"48,338",+
84,"Wednesday, Jul 5",boxscore,CIN,@,COL,L,3,5,,36-48,5,9.5,Gray,Feldman,Holland,3:24,N,"32,188",-
85,"Thursday, Jul 6",boxscore,CIN,@,COL,W,6,3,,37-48,5,9.5,Romano,Chatwood,,3:04,D,"27,328",+
86,"Friday, Jul 7",boxscore,CIN,@,ARI,L,3,6,,37-49,5,10.5,Greinke,Adleman,Rodney,2:57,N,"27,006",-
87,"Saturday, Jul 8",boxscore,CIN,@,ARI,W,7,0,,38-49,5,9.5,Castillo,Walker,,3:00,N,"29,806",+
88,"Sunday, Jul 9",boxscore,CIN,@,ARI,W,2,1,,39-49,5,9.5,Bailey,Corbin,Iglesias,2:53,D,"24,923",++
89,"Friday, Jul 14",boxscore,CIN,,WSN,L,0,5,,39-50,5,10.5,Gonzalez,Adleman,Grace,2:55,N,"28,916",-
90,"Saturday, Jul 15",boxscore,CIN,,WSN,L,7,10,,39-51,5,11.5,Scherzer,Castillo,Grace,3:32,N,"36,462",--
