Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
72,"Saturday, Jun 24",boxscore,MIN,@,CLE,W,4,2,,38-34,2,0.5,Rogers,Allen,Kintzler,3:13,D,"33,111",++
73,"Sunday, Jun 25",boxscore,MIN,@,CLE,W,4,0,,39-34,1,up 0.5,Santana,Tomlin,,2:55,D,"29,672",+++
74,"Monday, Jun 26",boxscore,MIN,@,BOS,L,1,4,,39-35,2,0.5,Sale,Berrios,Kimbrel,2:55,N,"37,172",-
75,"Tuesday, Jun 27",boxscore,MIN,@,BOS,L,2,9,,39-36,2,0.5,Pomeranz,Santiago,,3:18,N,"36,804",--
76,"Wednesday, Jun 28",boxscore,MIN,@,BOS,W,4,1,,40-36,2,0.5,Mejia,Porcello,Kintzler,3:14,N,"37,487",+
77,"Thursday, Jun 29",boxscore,MIN,@,BOS,L,3,6,,40-37,2,1.5,Price,Gibson,Kimbrel,3:24,N,"37,445",-
78,"Friday, Jun 30",boxscore,MIN,@,KCR,L,1,8,,40-38,2,2,Vargas,Santana,,2:39,N,"34,332",--
Gm#,July,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
79,"Saturday, Jul 1 (1)",boxscore,MIN,@,KCR,L,6,11,,40-39,2,2,Minor,Duffey,,3:39,D,"25,571",---
80,"Saturday, Jul 1 (2)",boxscore,MIN,@,KCR,W,10,5,,41-39,2,2,Jorge,Hammel,,3:28,N,"32,448",+
81,"Sunday, Jul 2",boxscore,MIN,@,KCR,L,2,6,,41-40,2,3,Alexander,Santiago,,3:08,D,"28,775",-
82,"Monday, Jul 3",boxscore,MIN,,LAA,W,9,5,,42-40,2,2.5,Mejia,Meyer,,3:00,N,"36,182",+
83,"Tuesday, Jul 4",boxscore,MIN,,LAA,W,5,4,,43-40,2,1.5,Gibson,Ramirez,Kintzler,3:20,D,"25,013",++
