Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
97,"Sunday, Jul 23",boxscore,ATL,@,LAD,L-wo,4,5,10,47-50,2,12,Morrow,Johnson,,3:05,D,"44,701",--
98,"Monday, Jul 24",boxscore,ATL,@,ARI,L,2,10,,47-51,2,12.5,Greinke,Dickey,,3:00,N,"20,862",---
99,"Tuesday, Jul 25",boxscore,ATL,@,ARI,W,8,3,,48-51,2,11.5,Foltynewicz,Hoover,,3:10,N,"25,069",+
100,"Wednesday, Jul 26",boxscore,ATL,@,ARI,L,3,10,,48-52,2,12.5,Corbin,Blair,,3:17,D,"25,836",-
101,"Friday, Jul 28",boxscore,ATL,@,PHI,L,3,10,,48-53,2,13.5,Thompson,Teheran,Benoit,3:01,N,"17,177",--
102,"Saturday, Jul 29",boxscore,ATL,@,PHI,L-wo,3,4,11,48-54,3,13.5,Neris,Brothers,,3:50,N,"28,162",---
103,"Sunday, Jul 30",boxscore,ATL,@,PHI,L-wo,1,2,,48-55,3,14,Neris,Brothers,,3:20,D,"20,680",----
104,"Monday, Jul 31",boxscore,ATL,@,PHI,L,6,7,,48-56,4,15,Pivetta,Foltynewicz,Neris,3:13,D,"20,297",-----
Gm#,August,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
105,"Tuesday, Aug 1",boxscore,ATL,,LAD,L,2,3,,48-57,4,15,Maeda,Sims,Jansen,2:54,N,"32,174",------
106,"Wednesday, Aug 2",boxscore,ATL,,LAD,W,5,3,,49-57,4,14,Brothers,Baez,Vizcaino,2:55,N,"28,107",+
107,"Thursday, Aug 3",boxscore,ATL,,LAD,L,4,7,,49-58,4,14.5,Wood,Newcomb,,3:29,N,"29,680",-
108,"Friday, Aug 4",boxscore,ATL,,MIA,W,5,3,,50-58,3,14.5,Dickey,Conley,Vizcaino,2:40,N,"35,914",+
109,"Saturday, Aug 5",boxscore,ATL,,MIA,W,7,2,,51-58,3,13.5,Foltynewicz,Straily,Vizcaino,2:58,N,"40,731",++
110,"Sunday, Aug 6",boxscore,ATL,,MIA,L,1,4,,51-59,3,14.5,Urena,Sims,Ziegler,2:29,D,"29,651",-
111,"Tuesday, Aug 8",boxscore,ATL,,PHI,L,2,5,,51-60,3,15,Eflin,Teheran,Neris,2:58,N,"25,783",--
112,"Wednesday, Aug 9",boxscore,ATL,,PHI,L,2,3,,51-61,3,16,Eickhoff,Newcomb,Neris,2:55,N,"22,776",---
113,"Friday, Aug 11",boxscore,ATL,@,STL,L,5,8,,51-62,4,17,Wainwright,Foltynewicz,Bowman,3:08,N,"41,928",----
114,"Saturday, Aug 12",boxscore,ATL,@,STL,L,5,6,,51-63,4,18,Martinez,Sims,Rosenthal,2:52,N,"46,360",-----
115,"Sunday, Aug 13",boxscore,ATL,@,STL,W,6,3,,52-63,4,17.5,Dickey,Wacha,Vizcaino,2:58,D,"44,534",+
116,"Monday, Aug 14",boxscore,ATL,@,COL,L,0,3,,52-64,4,18,Dunn,Brothers,Holland,2:44,N,"33,641",-
117,"Tuesday, Aug 15",boxscore,ATL,@,COL,W,4,3,,53-64,3,18,Freeman,Neshek,Vizcaino,2:53,N,"28,655",+
118,"Wednesday, Aug 16",boxscore,ATL,@,COL,L,2,17,,53-65,3,18,Gray,Foltynewicz,,3:16,N,"30,695",-
119,"Thursday, Aug 17",boxscore,ATL,@,COL,W,10,4,,54-65,3,18,Sims,Hoffman,,3:27,D,"30,020",+
120,"Friday, Aug 18",boxscore,ATL,,CIN,L,3,5,,54-66,3,19,Romano,Dickey,Iglesias,3:09,N,"31,174",-
121,"Saturday, Aug 19",boxscore,ATL,,CIN,L,8,11,,54-67,3,19,Stephenson,Teheran,,3:35,N,"39,317",--
122,"Sunday, Aug 20",boxscore,ATL,,CIN,W,8,1,,55-67,3,19,Newcomb,Castillo,,3:11,D,"25,758",+
123,"Monday, Aug 21",boxscore,ATL,,SEA,L,5,6,,55-68,3,19.5,Albers,Foltynewicz,Diaz,2:59,N,"21,284",-
124,"Tuesday, Aug 22",boxscore,ATL,,SEA,W,4,0,,56-68,3,19.5,Sims,Gonzales,,3:01,N,"22,947",+
125,"Wednesday, Aug 23",boxscore,ATL,,SEA,L,6,9,,56-69,3,19.5,Phelps,Johnson,Diaz,3:07,N,"23,890",-
126,"Friday, Aug 25",boxscore,ATL,,COL,W,5,2,,57-69,3,19,Teheran,Bettis,Vizcaino,2:32,N,"33,577",+
127,"Saturday, Aug 26",boxscore,ATL,,COL,L,6,7,,57-70,3,20,Neshek,Vizcaino,McGee,3:24,N,"32,448",-
128,"Sunday, Aug 27",boxscore,ATL,,COL,L,0,3,,57-71,3,20.5,Gray,Foltynewicz,McGee,3:09,D,"28,154",--
129,"Monday, Aug 28",boxscore,ATL,@,PHI,L,1,6,,57-72,3,21.5,Nola,Sims,,2:52,N,"15,154",---
130,"Wednesday, Aug 30 (1)",boxscore,ATL,@,PHI,W,9,1,,58-72,3,21.5,Dickey,Eickhoff,,2:49,D,,+
131,"Wednesday, Aug 30 (2)",boxscore,ATL,@,PHI,W,5,2,,59-72,3,21.5,Teheran,Leiter,Vizcaino,3:17,D,"15,706",++
132,"Thursday, Aug 31",boxscore,ATL,@,CHC,L,2,6,,59-73,3,21.5,Hendricks,Newcomb,,2:59,N,"38,031",-
Gm#,September,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
133,"Friday, Sep 1",boxscore,ATL,@,CHC,L,0,2,,59-74,3,21.5,Lackey,Foltynewicz,Davis,2:38,D,"37,280",--
134,"Saturday, Sep 2",boxscore,ATL,@,CHC,L,12,14,,59-75,3,22.5,Lester,Sims,,3:49,D,"41,329",---
135,"Sunday, Sep 3",boxscore,ATL,@,CHC,W,5,1,,60-75,3,21.5,Fried,Montgomery,,2:43,D,"42,145",+
136,"Monday, Sep 4",boxscore,ATL,,TEX,L,2,8,,60-76,3,22.5,Cashner,Dickey,,2:50,N,"23,474",-
137,"Wednesday, Sep 6 (1)",boxscore,ATL,,TEX,L,8,12,,60-77,3,23.5,Bibens-Dirkx,Gohara,,3:30,D,"19,971",--
138,"Wednesday, Sep 6 (2)",boxscore,ATL,,TEX,W,5,4,,61-77,3,23.5,Teheran,Hamels,Vizcaino,3:03,N,"20,364",+
139,"Thursday, Sep 7",boxscore,ATL,,MIA,W-wo,6,5,,62-77,3,23.5,Brothers,Ziegler,,3:23,N,"23,561",++
140,"Friday, Sep 8",boxscore,ATL,,MIA,L,1,7,,62-78,3,24.5,Urena,Foltynewicz,,3:16,N,"30,056",-
141,"Saturday, Sep 9",boxscore,ATL,,MIA,W-wo,6,5,,63-78,3,23.5,Vizcaino,Barraclough,,3:21,N,"34,043",+
142,"Sunday, Sep 10",boxscore,ATL,,MIA,W-wo,10,8,11,64-78,3,23.5,Vizcaino,Worley,,3:47,D,"34,974",++
143,"Tuesday, Sep 12",boxscore,ATL,@,WSN,W,8,0,,65-78,3,22.5,Teheran,Gonzalez,,2:57,N,"22,769",+++
144,"Wednesday, Sep 13",boxscore,ATL,@,WSN,W,8,2,,66-78,3,21.5,Gohara,Scherzer,,3:08,N,"24,850",++++
145,"Thursday, Sep 14",boxscore,ATL,@,WSN,L,2,5,,66-79,3,22.5,Roark,Foltynewicz,Doolittle,2:40,N,"25,192",-
146,"Friday, Sep 15",boxscore,ATL,,NYM,W,3,2,,67-79,3,21.5,Newcomb,Montero,Vizcaino,3:05,N,"29,402",+
147,"Saturday, Sep 16",boxscore,ATL,,NYM,L,3,7,,67-80,3,21.5,deGrom,Dickey,,2:45,N,"37,846",-
148,"Sunday, Sep 17",boxscore,ATL,,NYM,L,1,5,,67-81,3,22.5,Gsellman,Teheran,,2:59,D,"32,785",--
149,"Tuesday, Sep 19",boxscore,ATL,,WSN,L,2,4,,67-82,3,23.5,Scherzer,Gohara,Doolittle,3:01,N,"26,709",---
150,"Wednesday, Sep 20",boxscore,ATL,,WSN,L,3,7,,67-83,3,24.5,Gonzalez,Ramirez,,2:51,N,"25,054",----
151,"Thursday, Sep 21",boxscore,ATL,,WSN,W,3,2,,68-83,3,23.5,Dickey,Roark,Vizcaino,2:18,N,"32,702",+
152,"Friday, Sep 22",boxscore,ATL,,PHI,W,7,2,,69-83,3,22.5,Newcomb,Lively,,2:56,N,"33,702",++
153,"Saturday, Sep 23",boxscore,ATL,,PHI,W,4,2,,70-83,3,22.5,Brothers,Garcia,Vizcaino,2:50,N,"39,809",+++
154,"Sunday, Sep 24",boxscore,ATL,,PHI,L,0,2,,70-84,3,23.5,Pivetta,Gohara,Neris,2:38,D,"33,183",-
155,"Monday, Sep 25 (1)",boxscore,ATL,@,NYM,W,9,2,,71-84,3,24,Sims,Flexen,,3:03,N,,+
156,"Monday, Sep 25 (2)",boxscore,ATL,@,NYM,L,2,3,,71-85,3,24,Lugo,Fried,Familia,2:49,N,"21,698",-
157,"Tuesday, Sep 26",preview,ATL,@,NYM,7:10 PM,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
158,"Wednesday, Sep 27",preview,ATL,@,NYM,7:10 PM,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
159,"Thursday, Sep 28",preview,ATL,@,MIA,7:10 PM,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
160,"Friday, Sep 29",preview,ATL,@,MIA,7:10 PM,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
161,"Saturday, Sep 30",preview,ATL,@,MIA,7:10 PM,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
162,"Sunday, Oct 1",preview,ATL,@,MIA,3:10 PM,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
Gm#,Date,,Tm,,Opp,,,,,,,,,,,,,,D/N
