Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
64,"Wednesday, Jun 14",boxscore,CHW,,BAL,L,6,10,,28-36,5,6,Bundy,Gonzalez,,3:22,N,"20,008",-
65,"Thursday, Jun 15",boxscore,CHW,,BAL,W,5,2,,29-36,5,6,Swarzak,Tillman,,3:35,D,"20,139",+
66,"Friday, Jun 16",boxscore,CHW,@,TOR,W,11,4,,30-36,5,5,Quintana,Biagini,,3:05,N,"39,071",++
67,"Saturday, Jun 17",boxscore,CHW,@,TOR,W,5,2,,31-36,5,4.5,Pelfrey,Stroman,Robertson,2:44,D,"47,171",+++
68,"Sunday, Jun 18",boxscore,CHW,@,TOR,L,3,7,,31-37,5,5.5,Happ,Swarzak,,3:01,D,"46,599",-
69,"Tuesday, Jun 20",boxscore,CHW,@,MIN,L,7,9,,31-38,5,6,Santana,Holland,Kintzler,3:33,N,"26,095",--
70,"Wednesday, Jun 21",boxscore,CHW,@,MIN,L,2,4,,31-39,5,7,Berrios,Holmberg,Kintzler,3:02,N,"33,316",---
71,"Thursday, Jun 22",boxscore,CHW,@,MIN,W,9,0,,32-39,4,7,Quintana,Turley,,3:21,D,"27,684",+
72,"Friday, Jun 23",boxscore,CHW,,OAK,L,0,3,,32-40,4,7,Cotton,Pelfrey,Casilla,2:59,N,"25,370",-
73,"Saturday, Jun 24",boxscore,CHW,,OAK,L,2,10,,32-41,4,7,Gossett,Shields,,3:22,D,"38,618",--
74,"Sunday, Jun 25",boxscore,CHW,,OAK,L,3,5,,32-42,5,7.5,Gray,Kahnle,Casilla,3:33,D,"28,089",---
75,"Monday, Jun 26",boxscore,CHW,,NYY,L,5,6,,32-43,5,8,Montgomery,Holmberg,Chapman,3:28,N,"20,339",----
76,"Tuesday, Jun 27",boxscore,CHW,,NYY,W-wo,4,3,,33-43,5,7,Jennings,Betances,,3:25,N,"18,023",+
77,"Wednesday, Jun 28",boxscore,CHW,,NYY,L,3,12,,33-44,5,8,Tanaka,Rodon,,3:51,N,"15,259",-
78,"Thursday, Jun 29",boxscore,CHW,,NYY,W,4,3,,34-44,5,8,Shields,Cessa,Robertson,3:01,N,"21,032",+
79,"Friday, Jun 30",boxscore,CHW,,TEX,W-wo,8,7,,35-44,5,7.5,Swarzak,Bush,,3:42,N,"18,838",++
Gm#,July,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
80,"Saturday, Jul 1",boxscore,CHW,,TEX,L,4,10,,35-45,5,8,Hamels,Holland,,3:26,D,"22,915",-
81,"Sunday, Jul 2",boxscore,CHW,,TEX,W,6,5,,36-45,4,8,Robertson,Leclerc,,3:43,D,"26,206",+
82,"Monday, Jul 3",boxscore,CHW,@,OAK,W,7,2,,37-45,4,7.5,Rodon,Cotton,,3:33,N,"40,019",++
83,"Tuesday, Jul 4",boxscore,CHW,@,OAK,L-wo,6,7,,37-46,5,7.5,Casilla,Kahnle,,3:09,D,"16,314",-
84,"Wednesday, Jul 5",boxscore,CHW,@,OAK,L,4,7,,37-47,5,7.5,Gray,Pelfrey,,3:24,D,"13,813",--
85,"Friday, Jul 7",boxscore,CHW,@,COL,L,4,12,,37-48,5,9,Marquez,Holland,,3:08,N,"38,386",---
86,"Saturday, Jul 8",boxscore,CHW,@,COL,W,5,4,,38-48,4,9,Kahnle,Holland,Robertson,3:09,N,"48,118",+
87,"Sunday, Jul 9",boxscore,CHW,@,COL,L,0,10,,38-49,5,9,Freeland,Rodon,,3:13,D,"36,541",-
88,"Friday, Jul 14",boxscore,CHW,,SEA,L,2,4,,38-50,5,9,Paxton,Shields,Diaz,2:50,N,"20,311",--
89,"Saturday, Jul 15",boxscore,CHW,,SEA,L,3,4,,38-51,5,9,Hernandez,Swarzak,Diaz,3:26,N,"21,743",---
