Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
72,"Thursday, Jun 22",boxscore,TEX,,TOR,W,11,4,,36-36,3,13,Perez,Stroman,,3:07,D,"26,764",+
73,"Friday, Jun 23",boxscore,TEX,@,NYY,L-wo,1,2,10,36-37,3,13,Shreve,Bush,,3:32,N,"39,602",-
74,"Saturday, Jun 24",boxscore,TEX,@,NYY,W,8,1,,37-37,3,13,Bibens-Dirkx,Cessa,,3:03,D,"40,225",+
75,"Sunday, Jun 25",boxscore,TEX,@,NYY,W,7,6,,38-37,2,13,Martinez,Pineda,Bush,3:20,D,"46,625",++
76,"Monday, Jun 26",boxscore,TEX,@,CLE,L,9,15,,38-38,3,13.5,Shaw,Scheppers,,3:37,N,"17,672",-
77,"Tuesday, Jun 27",boxscore,TEX,@,CLE,W,2,1,,39-38,2,12.5,Kela,Allen,Bush,2:52,N,"19,348",+
78,"Wednesday, Jun 28",boxscore,TEX,@,CLE,L,3,5,,39-39,3,13.5,Bauer,Darvish,,3:04,N,"21,200",-
79,"Thursday, Jun 29",boxscore,TEX,@,CLE,L,1,5,,39-40,3,14.5,Kluber,Cashner,,2:41,D,"23,996",--
80,"Friday, Jun 30",boxscore,TEX,@,CHW,L-wo,7,8,,39-41,4,14.5,Swarzak,Bush,,3:42,N,"18,838",---
Gm#,July,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
81,"Saturday, Jul 1",boxscore,TEX,@,CHW,W,10,4,,40-41,3,14.5,Hamels,Holland,,3:26,D,"22,915",+
82,"Sunday, Jul 2",boxscore,TEX,@,CHW,L,5,6,,40-42,4,15.5,Robertson,Leclerc,,3:43,D,"26,206",-
83,"Monday, Jul 3",boxscore,TEX,,BOS,L,5,7,11,40-43,4,16,Hembree,Frieri,,4:07,N,"45,448",--
84,"Tuesday, Jul 4",boxscore,TEX,,BOS,L,4,11,,40-44,4,17,Price,Darvish,,3:56,N,"43,267",---
85,"Wednesday, Jul 5",boxscore,TEX,,BOS,W,8,2,,41-44,3,17,Cashner,Fister,,2:52,N,"32,276",+
86,"Friday, Jul 7",boxscore,TEX,,LAA,W,10,0,,42-44,2,16.5,Hamels,Nolasco,,2:49,N,"40,276",++
87,"Saturday, Jul 8",boxscore,TEX,,LAA,W,5,2,,43-44,2,15.5,Ross,Chavez,,3:13,N,"36,817",+++
