Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
109,"Sunday, Aug 6",boxscore,MIA,@,ATL,W,4,1,,52-57,2,13,Urena,Sims,Ziegler,2:29,D,"29,651",+
110,"Monday, Aug 7",boxscore,MIA,@,WSN,L,2,3,,52-58,2,14,Kintzler,Garcia,Doolittle,2:58,N,"21,799",-
111,"Tuesday, Aug 8",boxscore,MIA,@,WSN,W,7,3,,53-58,2,13,Worley,Cole,,3:07,N,"25,406",+
112,"Wednesday, Aug 9",boxscore,MIA,@,WSN,L,1,10,,53-59,2,14,Gonzalez,Conley,,3:02,N,"25,951",-
113,"Thursday, Aug 10",boxscore,MIA,@,WSN,L,2,3,,53-60,2,15,Madson,Tazawa,Doolittle,2:51,N,"23,904",--
114,"Friday, Aug 11",boxscore,MIA,,COL,W,6,3,,54-60,2,14.5,Tazawa,McGee,Ziegler,3:24,N,"20,096",+
115,"Saturday, Aug 12",boxscore,MIA,,COL,W,4,3,,55-60,2,14.5,Nicolino,Hoffman,Ziegler,3:07,N,"20,399",++
116,"Sunday, Aug 13",boxscore,MIA,,COL,W,5,3,,56-60,2,14,Guerra,Marquez,Despaigne,3:06,D,"20,769",+++
117,"Monday, Aug 14",boxscore,MIA,,SFG,W,8,3,,57-60,2,13.5,Conley,Blach,,2:44,N,"17,096",++++
118,"Tuesday, Aug 15",boxscore,MIA,,SFG,L,4,9,,57-61,2,14.5,Bumgarner,Tazawa,,3:13,N,"21,694",-
119,"Wednesday, Aug 16",boxscore,MIA,,SFG,W,8,1,,58-61,2,13.5,Urena,Cain,,2:49,D,"17,102",+
120,"Friday, Aug 18",boxscore,MIA,@,NYM,W,3,1,,59-61,2,14,Nicolino,Flexen,Ziegler,2:53,N,"25,958",++
121,"Saturday, Aug 19",boxscore,MIA,@,NYM,L,1,8,,59-62,2,14,Montero,Worley,,2:48,N,"30,171",-
122,"Sunday, Aug 20",boxscore,MIA,@,NYM,W,6,4,,60-62,2,14,Conley,deGrom,Ziegler,2:53,D,"26,464",+
123,"Tuesday, Aug 22 (1)",boxscore,MIA,@,PHI,W,12,8,,61-62,2,13.5,Straily,Nola,,3:06,N,,++
124,"Tuesday, Aug 22 (2)",boxscore,MIA,@,PHI,W,7,4,,62-62,2,13.5,Urena,Pivetta,Ziegler,3:22,N,"20,761",+++
125,"Wednesday, Aug 23",boxscore,MIA,@,PHI,L,0,8,,62-63,2,13.5,Leiter,Nicolino,,2:50,N,"19,161",-
126,"Thursday, Aug 24",boxscore,MIA,@,PHI,W,9,8,,63-63,2,13.5,Garcia,Garcia,Ziegler,3:14,D,"18,083",+
127,"Friday, Aug 25",boxscore,MIA,,SDP,W,8,6,,64-63,2,12.5,McGowan,Yates,Ziegler,2:53,N,"22,489",++
128,"Saturday, Aug 26",boxscore,MIA,,SDP,W-wo,2,1,11,65-63,2,12.5,Tazawa,Torres,,3:53,N,"19,913",+++
129,"Sunday, Aug 27",boxscore,MIA,,SDP,W,6,2,,66-63,2,12,Barraclough,Richard,,2:31,D,"23,725",++++
130,"Monday, Aug 28",boxscore,MIA,@,WSN,L,2,11,,66-64,2,13,Scherzer,Urena,,3:06,N,"20,838",-
131,"Tuesday, Aug 29",boxscore,MIA,@,WSN,L,3,8,,66-65,2,14,Jackson,Worley,,3:11,N,"25,924",--
132,"Wednesday, Aug 30",boxscore,MIA,@,WSN,L,0,4,,66-66,2,15,Strasburg,Conley,,2:36,D,"25,019",---
133,"Thursday, Aug 31",boxscore,MIA,,PHI,L,2,3,,66-67,2,15,Lively,Despaigne,Neris,3:09,N,"17,013",----
Gm#,September,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
134,"Friday, Sep 1",boxscore,MIA,,PHI,L,1,2,,66-68,2,15,Nicasio,Ziegler,Neris,2:44,N,"17,998",-----
135,"Saturday, Sep 2",boxscore,MIA,,PHI,W,10,9,,67-68,2,15,Straily,Nola,Steckenrider,3:37,N,"18,262",+
136,"Sunday, Sep 3",boxscore,MIA,,PHI,L,1,3,12,67-69,2,15,Morgan,Tazawa,Neris,3:46,D,"19,404",-
137,"Monday, Sep 4",boxscore,MIA,,WSN,L,2,7,,67-70,2,16,Cole,Conley,,3:10,N,"17,349",--
138,"Tuesday, Sep 5",boxscore,MIA,,WSN,L,1,2,,67-71,2,17,Strasburg,Despaigne,Doolittle,2:50,N,"15,364",---
139,"Wednesday, Sep 6",boxscore,MIA,,WSN,L,1,8,,67-72,2,18,Gonzalez,Peters,,3:02,N,"14,390",----
140,"Thursday, Sep 7",boxscore,MIA,@,ATL,L-wo,5,6,,67-73,2,19,Brothers,Ziegler,,3:23,N,"23,561",-----
141,"Friday, Sep 8",boxscore,MIA,@,ATL,W,7,1,,68-73,2,19,Urena,Foltynewicz,,3:16,N,"30,056",+
