Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
124,"Wednesday, Aug 23",boxscore,WSN,@,HOU,L,1,6,,75-49,1,up13.5,Fiers,Jackson,,2:48,N,"23,434",-
125,"Thursday, Aug 24",boxscore,WSN,@,HOU,W,5,4,11,76-49,1,up13.5,Albers,Clippard,Solis,3:47,N,"24,761",+
126,"Friday, Aug 25",boxscore,WSN,,NYM,L,2,4,,76-50,1,up12.5,deGrom,Cole,Ramos,3:08,N,"34,036",-
127,"Saturday, Aug 26",boxscore,WSN,,NYM,W,9,4,,77-50,1,up12.5,Gonzalez,Gsellman,,3:03,D,"36,761",+
128,"Sunday, Aug 27 (1)",boxscore,WSN,,NYM,L,5,6,,77-51,1,up12.0,Blevins,Blanton,Ramos,3:34,D,"31,904",-
129,"Sunday, Aug 27 (2)",boxscore,WSN,,NYM,W,5,4,,78-51,1,up12.0,Roark,Robles,Doolittle,3:21,N,"20,624",+
130,"Monday, Aug 28",boxscore,WSN,,MIA,W,11,2,,79-51,1,up13.0,Scherzer,Urena,,3:06,N,"20,838",++
131,"Tuesday, Aug 29",boxscore,WSN,,MIA,W,8,3,,80-51,1,up14.0,Jackson,Worley,,3:11,N,"25,924",+++
132,"Wednesday, Aug 30",boxscore,WSN,,MIA,W,4,0,,81-51,1,up15.0,Strasburg,Conley,,2:36,D,"25,019",++++
133,"Thursday, Aug 31",boxscore,WSN,@,MIL,L,3,6,,81-52,1,up15.0,Davies,Gonzalez,Knebel,2:50,N,"26,384",-
Gm#,September,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
134,"Friday, Sep 1",boxscore,WSN,@,MIL,L,0,1,,81-53,1,up15.0,Nelson,Roark,Knebel,2:39,N,"40,044",--
135,"Saturday, Sep 2",boxscore,WSN,@,MIL,W,3,2,,82-53,1,up15.0,Madson,Hader,Doolittle,3:01,N,"35,341",+
136,"Sunday, Sep 3",boxscore,WSN,@,MIL,L,2,7,,82-54,1,up15.0,Jeffress,Jackson,,2:49,D,"36,937",-
137,"Monday, Sep 4",boxscore,WSN,@,MIA,W,7,2,,83-54,1,up16.0,Cole,Conley,,3:10,N,"17,349",+
138,"Tuesday, Sep 5",boxscore,WSN,@,MIA,W,2,1,,84-54,1,up17.0,Strasburg,Despaigne,Doolittle,2:50,N,"15,364",++
139,"Wednesday, Sep 6",boxscore,WSN,@,MIA,W,8,1,,85-54,1,up18.0,Gonzalez,Peters,,3:02,N,"14,390",+++
140,"Thursday, Sep 7",boxscore,WSN,,PHI,W,4,3,,86-54,1,up19.0,Roark,Morgan,Doolittle,3:09,N,"26,267",++++
141,"Friday, Sep 8",boxscore,WSN,,PHI,W,11,10,,87-54,1,up19.0,Scherzer,Thompson,Doolittle,3:27,N,"29,837",+++++
142,"Saturday, Sep 9",boxscore,WSN,,PHI,L,4,5,,87-55,1,up19.0,Leiter,Jackson,Neris,3:23,N,"35,694",-
143,"Sunday, Sep 10",boxscore,WSN,,PHI,W,3,2,,88-55,1,up20.0,Strasburg,Lively,Madson,2:16,D,"32,627",+
144,"Tuesday, Sep 12",boxscore,WSN,,ATL,L,0,8,,88-56,1,up20.0,Teheran,Gonzalez,,2:57,N,"22,769",-
145,"Wednesday, Sep 13",boxscore,WSN,,ATL,L,2,8,,88-57,1,up20.0,Gohara,Scherzer,,3:08,N,"24,850",--
146,"Thursday, Sep 14",boxscore,WSN,,ATL,W,5,2,,89-57,1,up21.0,Roark,Foltynewicz,Doolittle,2:40,N,"25,192",+
147,"Friday, Sep 15",boxscore,WSN,,LAD,L,0,7,,89-58,1,up21.0,Wood,Jackson,,3:09,N,"37,508",-
148,"Saturday, Sep 16",boxscore,WSN,,LAD,L,2,3,,89-59,1,up20.0,Hill,Cole,Jansen,2:46,D,"39,387",--
149,"Sunday, Sep 17",boxscore,WSN,,LAD,W,7,1,,90-59,1,up21.0,Strasburg,Stripling,,3:22,N,"29,155",+
150,"Tuesday, Sep 19",boxscore,WSN,@,ATL,W,4,2,,91-59,1,up20.5,Scherzer,Gohara,Doolittle,3:01,N,"26,709",++
151,"Wednesday, Sep 20",boxscore,WSN,@,ATL,W,7,3,,92-59,1,up20.5,Gonzalez,Ramirez,,2:51,N,"25,054",+++
152,"Thursday, Sep 21",boxscore,WSN,@,ATL,L,2,3,,92-60,1,up20.0,Dickey,Roark,Vizcaino,2:18,N,"32,702",-
153,"Friday, Sep 22",boxscore,WSN,@,NYM,L,6,7,,92-61,1,up20.0,Bradford,Blanton,Familia,3:02,N,"28,095",--
154,"Saturday, Sep 23",boxscore,WSN,@,NYM,W,4,3,10,93-61,1,up20.0,Solis,Rhame,Doolittle,3:38,N,"34,455",+
155,"Sunday, Sep 24",boxscore,WSN,@,NYM,W,3,2,,94-61,1,up21.0,Scherzer,deGrom,Kintzler,3:01,D,"29,057",++
156,"Monday, Sep 25",boxscore,WSN,@,PHI,W,3,1,,95-61,1,up21.0,Cole,Nola,Doolittle,3:04,N,"17,026",+++
157,"Tuesday, Sep 26",preview,WSN,@,PHI,7:05 PM,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
158,"Wednesday, Sep 27",preview,WSN,@,PHI,7:05 PM,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
159,"Thursday, Sep 28",preview,WSN,,PIT,7:05 PM,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
160,"Friday, Sep 29",preview,WSN,,PIT,7:05 PM,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
161,"Saturday, Sep 30",preview,WSN,,PIT,7:05 PM,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
162,"Sunday, Oct 1",preview,WSN,,PIT,3:05 PM,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
163,"Friday, Oct 6",preview,WSN,,,TBD,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
164,"Saturday, Oct 7",preview,WSN,,,TBD,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
165,"Thursday, Oct 12",preview,WSN,,,TBD,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
Gm#,Date,,Tm,,Opp,,,,,,,,,,,,,,D/N
