Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
66,"Friday, Jun 16",boxscore,PHI,,ARI,L,4,5,,22-44,5,18.5,Corbin,Nola,Rodney,3:12,N,"18,140",-
67,"Saturday, Jun 17",boxscore,PHI,,ARI,L,1,5,,22-45,5,19.5,De La Rosa,Ramos,,3:25,D,"21,108",--
68,"Sunday, Jun 18",boxscore,PHI,,ARI,L,4,5,10,22-46,5,19.5,Bradley,Gomez,Rodney,4:12,D,"31,131",---
69,"Tuesday, Jun 20",boxscore,PHI,,STL,L,1,8,11,22-47,5,20,Siegrist,Ramos,,3:28,N,"22,070",----
70,"Wednesday, Jun 21",boxscore,PHI,,STL,L,6,7,10,22-48,5,20,Cecil,Ramos,Oh,3:29,N,"25,037",-----
71,"Thursday, Jun 22",boxscore,PHI,,STL,W,5,1,,23-48,5,19.5,Nola,Martinez,,2:31,D,"23,623",+
72,"Friday, Jun 23",boxscore,PHI,@,ARI,W,6,1,,24-48,5,19.5,Leiter,Corbin,,2:54,N,"31,648",++
73,"Saturday, Jun 24",boxscore,PHI,@,ARI,L,2,9,,24-49,5,20.5,Ray,Lively,,3:05,N,"40,557",-
74,"Sunday, Jun 25",boxscore,PHI,@,ARI,L-wo,1,2,11,24-50,5,20.5,McFarland,Ramos,,3:50,D,"28,179",--
75,"Monday, Jun 26",boxscore,PHI,@,ARI,L,1,6,,24-51,5,20.5,Greinke,Pivetta,,3:11,D,"20,765",---
76,"Tuesday, Jun 27",boxscore,PHI,@,SEA,W,8,2,,25-51,5,20.5,Nola,Paxton,,3:02,N,"22,648",+
77,"Wednesday, Jun 28",boxscore,PHI,@,SEA,W,5,4,,26-51,5,20.5,Pinto,Diaz,Neris,3:24,D,"29,505",++
78,"Friday, Jun 30",boxscore,PHI,@,NYM,L,1,2,,26-52,5,20,deGrom,Lively,Reed,2:38,N,"37,134",-
Gm#,July,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
79,"Saturday, Jul 1",boxscore,PHI,@,NYM,L,6,7,,26-53,5,20,Salas,Neshek,Reed,3:21,D,"33,080",--
80,"Sunday, Jul 2",boxscore,PHI,@,NYM,W,7,1,,27-53,5,20,Pivetta,Montero,,2:53,D,"30,343",+
81,"Monday, Jul 3",boxscore,PHI,,PIT,W,4,0,,28-53,5,20,Nola,Nova,,2:36,N,"26,498",++
