Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
56,"Tuesday, Jun 6",boxscore,BAL,,PIT,W-wo,6,5,10,30-26,3,2.5,Brach,LeBlanc,,3:25,N,"26,724",+
57,"Wednesday, Jun 7",boxscore,BAL,,PIT,W-wo,9,6,11,31-26,3,2.5,Givens,LeBlanc,,4:08,N,"19,957",++
58,"Thursday, Jun 8",boxscore,BAL,@,WSN,L,1,6,,31-27,3,3.5,Ross,Asher,,2:56,N,"37,833",-
59,"Friday, Jun 9",boxscore,BAL,@,NYY,L,2,8,,31-28,3,4.5,Montgomery,Bundy,,2:45,N,"46,031",--
60,"Saturday, Jun 10",boxscore,BAL,@,NYY,L,3,16,,31-29,3,5.5,Severino,Tillman,,3:11,N,"45,232",---
61,"Sunday, Jun 11",boxscore,BAL,@,NYY,L,3,14,,31-30,4,6.5,Warren,Gausman,,3:38,D,"46,348",----
62,"Monday, Jun 12",boxscore,BAL,@,CHW,L,7,10,,31-31,4,7.5,Petricka,Miley,,3:29,N,"17,665",-----
63,"Tuesday, Jun 13",boxscore,BAL,@,CHW,L,1,6,,31-32,4,7.5,Holland,Asher,,2:54,N,"15,038",------
64,"Wednesday, Jun 14",boxscore,BAL,@,CHW,W,10,6,,32-32,4,6.5,Bundy,Gonzalez,,3:22,N,"20,008",+
65,"Thursday, Jun 15",boxscore,BAL,@,CHW,L,2,5,,32-33,4,6.5,Swarzak,Tillman,,3:35,D,"20,139",-
66,"Friday, Jun 16",boxscore,BAL,,STL,L,2,11,,32-34,4,6.5,Martinez,Gausman,,2:55,N,"26,341",--
67,"Saturday, Jun 17",boxscore,BAL,,STL,W,15,7,,33-34,4,5.5,Miley,Wainwright,,3:27,D,"27,788",+
68,"Sunday, Jun 18",boxscore,BAL,,STL,W,8,5,,34-34,4,4.5,Jimenez,Lynn,Brach,2:58,D,"34,854",++
69,"Monday, Jun 19",boxscore,BAL,,CLE,L,0,12,,34-35,4,5,Kluber,Bundy,,2:57,N,"13,875",-
70,"Tuesday, Jun 20",boxscore,BAL,,CLE,W,6,5,,35-35,4,4.5,Castro,Shaw,Brach,3:40,N,"22,891",+
71,"Wednesday, Jun 21",boxscore,BAL,,CLE,L,1,5,,35-36,4,5,Carrasco,Gausman,Shaw,3:16,N,"26,596",-
72,"Thursday, Jun 22",boxscore,BAL,,CLE,L,3,6,,35-37,4,5,Clevinger,Miley,,3:35,N,"24,954",--
73,"Friday, Jun 23",boxscore,BAL,@,TBR,L,5,15,,35-38,4,6,Archer,Jimenez,Pruitt,3:19,N,"18,929",---
74,"Saturday, Jun 24",boxscore,BAL,@,TBR,W,8,3,,36-38,4,5,Bundy,Alvarado,,3:10,D,"23,902",+
75,"Sunday, Jun 25",boxscore,BAL,@,TBR,W,8,5,,37-38,4,4,Brach,Colome,,3:15,D,"15,943",++
76,"Tuesday, Jun 27",boxscore,BAL,@,TOR,W,3,1,,38-38,4,4.5,Gausman,Biagini,Brach,3:00,N,"40,606",+++
77,"Wednesday, Jun 28",boxscore,BAL,@,TOR,L,0,4,,38-39,4,4.5,Stroman,Miley,,2:27,N,"38,847",-
78,"Thursday, Jun 29",boxscore,BAL,@,TOR,W,2,0,,39-39,4,4.5,Jimenez,Happ,Brach,2:20,N,"37,291",+
79,"Friday, Jun 30",boxscore,BAL,,TBR,L,4,6,10,39-40,4,5.5,Diaz,O'Day,Colome,3:37,N,"24,398",-
Gm#,July,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
80,"Saturday, Jul 1",boxscore,BAL,,TBR,L,3,10,,39-41,4,6.5,Odorizzi,Bundy,,3:23,D,"28,346",--
81,"Sunday, Jul 2",boxscore,BAL,,TBR,W,7,1,,40-41,4,6.5,Gausman,Cobb,,2:39,D,"26,489",+
82,"Monday, Jul 3",boxscore,BAL,@,MIL,L,1,8,,40-42,4,7.5,Suter,Miley,,2:35,D,"36,457",-
83,"Tuesday, Jul 4",boxscore,BAL,@,MIL,L,2,6,,40-43,4,8.5,Nelson,Jimenez,,2:25,D,"31,818",--
84,"Wednesday, Jul 5",boxscore,BAL,@,MIL,L,0,4,,40-44,4,8.5,Garza,Aquino,,3:04,N,"27,734",---
85,"Thursday, Jul 6",boxscore,BAL,@,MIN,L,4,6,,40-45,4,8.5,Berrios,Bundy,Kintzler,3:03,N,"19,706",----
86,"Friday, Jul 7",boxscore,BAL,@,MIN,L,6,9,,40-46,4,9.5,Hildenberger,Castro,Kintzler,3:13,N,"28,668",-----
87,"Saturday, Jul 8",boxscore,BAL,@,MIN,W,5,1,,41-46,4,8.5,Miley,Mejia,,3:04,D,"26,323",+
